74 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,60,1.5
1,60,1.5
0,107,1.5
1,107,1.5
0,141,1.5
1,141,1.5
0,165,1.5
1,165,1.5
0,167,1.5
1,167,1.5
0,218,1.5
1,218,1.5
0,224,1.5
1,224,1.5
0,265,1.5
1,265,1.5
0,282,1.5
1,282,1.5
0,297,1.5
1,297,1.5
0,306,1.5
1,306,1.5
0,333,1.5
1,333,1.5
0,339,1.5
1,339,1.5
0,381,1.5
1,381,1.5
0,408,1.5
1,408,1.5
0,451,1.5
1,451,1.5
0,480,1.5
1,480,1.5
0,492,1.5
1,492,1.5
0,505,1.5
1,505,1.5
0,596,1.5
1,596,1.5
0,600,1.5
1,600,1.5
0,630,1.5
1,630,1.5
0,637,1.5
1,637,1.5
0,642,1.5
1,642,1.5
0,650,1.5
1,650,1.5
0,724,1.5
1,724,1.5
0,844,1.5
1,844,1.5
0,894,1.5
1,894,1.5
0,996,1.5
1,996,1.5
0,1140,1.5
1,1140,1.5
0,1194,1.5
1,1194,1.5
0,1213,1.5
1,1213,1.5
0,1323,1.5
1,1323,1.5
0,1339,1.5
1,1339,1.5
0,1390,1.5
1,1390,1.5
0,2648,1.5
1,2648,1.5
0,2682,1.5
1,2682,1.5
