76 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,130,1.5
1,130,1.5
0,150,1.5
1,150,1.5
0,206,1.5
1,206,1.5
0,205,4
1,205,4
0,290,1.5
1,290,1.5
0,326,1.5
1,326,1.5
0,400,1.5
1,400,1.5
0,421,1.5
1,421,1.5
0,460,1.5
1,460,1.5
0,500,1.5
1,500,1.5
0,530,1.5
1,530,1.5
0,587.5,1.5
1,587.5,1.5
0,631.5,1.5
1,631.5,1.5
0,734,1.5
1,734,1.5
0,776,1.5
1,776,1.5
0,802,1.5
1,802,1.5
0,905,1.5
1,905,1.5
0,1020,1.5
1,1020,1.5
0,1062,1.5
1,1062,1.5
0,1074,1.5
1,1074,1.5
0,1100,1.5
1,1100,1.5
0,1135,1.5
1,1135,1.5
0,1250,1.5
1,1250,1.5
0,1253,1.5
1,1253,1.5
0,1325,1.5
1,1325,1.5
0,1390,1.5
1,1390,1.5
0,1440,1.5
1,1440,1.5
0,1470,1.5
1,1470,1.5
0,1500,1.5
1,1500,1.5
0,1550,1.5
1,1550,1.5
0,1645,1.5
1,1645,1.5
0,1720,1.5
1,1720,1.5
0,1750,1.5
1,1750,1.5
0,1800,1.5
1,1800,1.5
0,1830,1.5
1,1830,1.5
0,2042,1.5
1,2042,1.5
0,2090,1.5
1,2090,1.5
0,2733,1.5
1,2733,1.5
