78 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,517,1.5
1,517,1.5
0,641,1.5
1,641,1.5
0,962,1.5
1,962,1.5
0,1899,1.5
1,1899,1.5
0,1940,1.5
1,1940,1.5
0,2007,1.5
1,2007,1.5
0,2080,1.5
1,2080,1.5
0,2173,1.5
1,2173,1.5
0,2310,1.5
1,2310,1.5
0,2336,1.5
1,2336,1.5
0,2435,1.5
1,2435,1.5
0,2628,1.5
1,2628,1.5
0,2696,1.5
1,2696,1.5
0,265,1.5
1,265,1.5
0,379,1.5
1,379,1.5
0,505,1.5
1,505,1.5
0,568,1.5
1,568,1.5
0,612,1.5
1,612,1.5
0,696,1.5
1,696,1.5
0,722,1.5
1,722,1.5
0,811,1.5
1,811,1.5
0,1514,1.5
1,1514,1.5
0,1572,1.5
1,1572,1.5
0,1658,1.5
1,1658,1.5
0,1671,1.5
1,1671,1.5
0,1700,1.5
1,1700,1.5
0,1895,1.5
1,1895,1.5
0,325,1.5
1,325,1.5
0,111,1.5
1,111,1.5
0,171,1.5
1,171,1.5
0,235,1.5
1,235,1.5
0,685,1.5
1,685,1.5
0,842,1.5
1,842,1.5
0,904,1.5
1,904,1.5
0,1431,1.5
1,1431,1.5
0,1528,1.5
1,1528,1.5
0,838,1.5
1,838,1.5
0,874,1.5
1,874,1.5
0,1245,1.5
1,1245,1.5
