48 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,527,1.5
1,527,1.5
0,656,1.5
1,656,1.5
0,973,1.5
1,973,1.5
0,1919,1.5
1,1919,1.5
0,2000,1.5
1,2000,1.5
0,2107,1.5
1,2107,1.5
0,2264,1.5
1,2264,1.5
0,2420,1.5
1,2420,1.5
0,2453,1.5
1,2453,1.5
0,2820,1.5
1,2820,1.5
0,278,1.5
1,278,1.5
0,400,1.5
1,400,1.5
0,588,1.5
1,588,1.5
0,750,1.5
1,750,1.5
0,820,1.5
1,820,1.5
0,1565,1.5
1,1565,1.5
0,1632,1.5
1,1632,1.5
0,1750,1.5
1,1750,1.5
0,360,1.5
1,360,1.5
0,130,1.5
1,130,1.5
0,187,1.5
1,187,1.5
0,914,1.5
1,914,1.5
0,1438,1.5
1,1438,1.5
0,1323,1.5
1,1323,1.5
