32 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0, 110.6, 1.5
1, 110.6, 1.5
0, 287.6, 1.5
1, 287.6, 1.5
0, 357.7, 1.5
1, 357.7, 1.5
0, 960.2, 1.5
1, 960.2, 1.5
0, 969.2, 1.5
1, 969.2, 1.5
0, 988, 1.5
1, 988, 1.5
0, 1010.7, 1.5
1, 1010.7, 1.5
0, 1039.4, 1.5
1, 1039.4, 1.5
0, 1067.5, 1.5
1, 1067.5, 1.5
0, 1156.8, 1.5
1, 1156.8, 1.5
0, 1221.7, 1.5
1, 1221.7, 1.5
0, 1250, 1.5
1, 1250, 1.5
0, 1284.7, 1.5
1, 1284.7, 1.5
0, 1334.9, 1.5
1, 1334.9, 1.5
0, 1605, 1.5
1, 1605, 1.5
0, 1731.1, 1.5
1, 1731.1, 1.5
