258 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,33,4
1,33,4
2,33,4
3,33,4
4,33,4
5,33,4
0,61.8,4
1,61.8,4
2,61.8,4
3,61.8,4
4,61.8,4
5,61.8,4
0,72,4
1,72,4
2,72,4
3,72,4
4,72,4
5,72,4
0,80,4
1,80,4
2,80,4
3,80,4
4,80,4
5,80,4
0,84.8,4
1,84.8,4
2,84.8,4
3,84.8,4
4,84.8,4
5,84.8,4
0,103.8,4
1,103.8,4
2,103.8,4
3,103.8,4
4,103.8,4
5,103.8,4
0,108,4
1,108,4
2,108,4
3,108,4
4,108,4
5,108,4
0,126.8,4
1,126.8,4
2,126.8,4
3,126.8,4
4,126.8,4
5,126.8,4
0,148,4
1,148,4
2,148,4
3,148,4
4,148,4
5,148,4
0,182,4
1,182,4
2,182,4
3,182,4
4,182,4
5,182,4
0,198,4
1,198,4
2,198,4
3,198,4
4,198,4
5,198,4
0,239,4
1,239,4
2,239,4
3,239,4
4,239,4
5,239,4
0,265,4
1,265,4
2,265,4
3,265,4
4,265,4
5,265,4
0,268,4
1,268,4
2,268,4
3,268,4
4,268,4
5,268,4
0,297,4
1,297,4
2,297,4
3,297,4
4,297,4
5,297,4
0,307,4
1,307,4
2,307,4
3,307,4
4,307,4
5,307,4
0,310,4
1,310,4
2,310,4
3,310,4
4,310,4
5,310,4
0,339,4
1,339,4
2,339,4
3,339,4
4,339,4
5,339,4
0,341,4
1,341,4
2,341,4
3,341,4
4,341,4
5,341,4
0,362,4
1,362,4
2,362,4
3,362,4
4,362,4
5,362,4
0,374,4
1,374,4
2,374,4
3,374,4
4,374,4
5,374,4
0,417,4
1,417,4
2,417,4
3,417,4
4,417,4
5,417,4
0,437.7,4
1,437.7,4
2,437.7,4
3,437.7,4
4,437.7,4
5,437.7,4
0,458,4
1,458,4
2,458,4
3,458,4
4,458,4
5,458,4
0,507.3,4
1,507.3,4
2,507.3,4
3,507.3,4
4,507.3,4
5,507.3,4
0,549.2,4
1,549.2,4
2,549.2,4
3,549.2,4
4,549.2,4
5,549.2,4
0,626.4,4
1,626.4,4
2,626.4,4
3,626.4,4
4,626.4,4
5,626.4,4
0,630.4,4
1,630.4,4
2,630.4,4
3,630.4,4
4,630.4,4
5,630.4,4
0,642.2,4
1,642.2,4
2,642.2,4
3,642.2,4
4,642.2,4
5,642.2,4
0,668.2,4
1,668.2,4
2,668.2,4
3,668.2,4
4,668.2,4
5,668.2,4
0,672.7,4
1,672.7,4
2,672.7,4
3,672.7,4
4,672.7,4
5,672.7,4
0,684.0,4
1,684.0,4
2,684.0,4
3,684.0,4
4,684.0,4
5,684.0,4
0,711.8,4
1,711.8,4
2,711.8,4
3,711.8,4
4,711.8,4
5,711.8,4
0,747,4
1,747,4
2,747,4
3,747,4
4,747,4
5,747,4
0,800.4,4
1,800.4,4
2,800.4,4
3,800.4,4
4,800.4,4
5,800.4,4
0,841,4
1,841,4
2,841,4
3,841,4
4,841,4
5,841,4
0,954,4
1,954,4
2,954,4
3,954,4
4,954,4
5,954,4
0,1009,4
1,1009,4
2,1009,4
3,1009,4
4,1009,4
5,1009,4
0,1051,4
1,1051,4
2,1051,4
3,1051,4
4,1051,4
5,1051,4
0,1179,4
1,1179,4
2,1179,4
3,1179,4
4,1179,4
5,1179,4
0,1187,4
1,1187,4
2,1187,4
3,1187,4
4,1187,4
5,1187,4
0,1229,4
1,1229,4
2,1229,4
3,1229,4
4,1229,4
5,1229,4
0,1371,4
1,1371,4
2,1371,4
3,1371,4
4,1371,4
5,1371,4
