132 //Total number of SiLi cuts to make
SiLi number(0-6),centroid, sigma
0,130,4
1,130,4
2,130,4
3,130,4
4,130,4
5,130,4
0,205,4
1,205,4
2,205,4
3,205,4
4,205,4
5,205,4
0,240,4
1,240,4
2,240,4
3,240,4
4,240,4
5,240,4
0,276,4
1,276,4
2,276,4
3,276,4
4,276,4
5,276,4
0,316,4
1,316,4
2,316,4
3,316,4
4,316,4
5,316,4
0,400,4
1,400,4
2,400,4
3,400,4
4,400,4
5,400,4
0,416,4
1,416,4
2,416,4
3,416,4
4,416,4
5,416,4
0,460,4
1,460,4
2,460,4
3,460,4
4,460,4
5,460,4
0,470,4
1,470,4
2,470,4
3,470,4
4,470,4
5,470,4
0,511,4
1,511,4
2,511,4
3,511,4
4,511,4
5,511,4
0,535.8,4
1,535.8,4
2,535.8,4
3,535.8,4
4,535.8,4
5,535.8,4
0,684,4
1,684,4
2,684,4
3,684,4
4,684,4
5,684,4
0,750,4
1,750,4
2,750,4
3,750,4
4,750,4
5,750,4
0,760,4
1,760,4
2,760,4
3,760,4
4,760,4
5,760,4
0,870,4
1,870,4
2,870,4
3,870,4
4,870,4
5,870,4
0,911,4
1,911,4
2,911,4
3,911,4
4,911,4
5,911,4
0,970,4
1,970,4
2,970,4
3,970,4
4,970,4
5,970,4
0,1024,4
1,1024,4
2,1024,4
3,1024,4
4,1024,4
5,1024,4
0,1070,4
1,1070,4
2,1070,4
3,1070,4
4,1070,4
5,1070,4
0,1200,4
1,1200,4
2,1200,4
3,1200,4
4,1200,4
5,1200,4
0,1240,4
1,1240,4
2,1240,4
3,1240,4
4,1240,4
5,1240,4
0,1430,4
1,1430,4
2,1430,4
3,1430,4
4,1430,4
5,1430,4
