60 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0, 38, 4
1, 38, 4
2, 38, 4
3, 38, 4
4, 38, 4
5, 38, 4
0, 81, 4
1, 81, 4
2, 81, 4
3, 81, 4
4, 81, 4
5, 81, 4
0, 148, 4
1, 148, 4
2, 148, 4
3, 148, 4
4, 148, 4
5, 148, 4
0, 191, 4
1, 191, 4
2, 191, 4
3, 191, 4
4, 191, 4
5, 191, 4
0, 245, 4
1, 245, 4
2, 245, 4
3, 245, 4
4, 245, 4
5, 245, 4
0, 288, 4
1, 288, 4
2, 288, 4
3, 288, 4
4, 288, 4
5, 288, 4
0, 329, 4
1, 329, 4
2, 329, 4
3, 329, 4
4, 329, 4
5, 329, 4
0, 372, 4
1, 372, 4
2, 372, 4
3, 372, 4
4, 372, 4
5, 372, 4
0, 400, 4
1, 400, 4
2, 400, 4
3, 400, 4
4, 400, 4
5, 400, 4
0, 443, 4
1, 443, 4
2, 443, 4
3, 443, 4
4, 443, 4
5, 443, 4
