60 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0, 63, 4
1, 63, 4
2, 63, 4
3, 63, 4
4, 63, 4
5, 63, 4
0, 100, 4
1, 100, 4
2, 100, 4
3, 100, 4
4, 100, 4
5, 100, 4
0, 160, 4
1, 160, 4
2, 160, 4
3, 160, 4
4, 160, 4
5, 160, 4
0, 210, 4
1, 210, 4
2, 210, 4
3, 210, 4
4, 210, 4
5, 210, 4
0, 260, 4
1, 260, 4
2, 260, 4
3, 260, 4
4, 260, 4
5, 260, 4
0, 300, 4
1, 300, 4
2, 300, 4
3, 300, 4
4, 300, 4
5, 300, 4
0, 340, 4
1, 340, 4
2, 340, 4
3, 340, 4
4, 340, 4
5, 340, 4
0, 385, 4
1, 385, 4
2, 385, 4
3, 385, 4
4, 385, 4
5, 385, 4
0, 420, 4
1, 420, 4
2, 420, 4
3, 420, 4
4, 420, 4
5, 420, 4
0, 443, 4
1, 443, 4
2, 443, 4
3, 443, 4
4, 443, 4
5, 443, 4
