132 //Total number of SiLi cuts to make
//SiLi number(0-5),centroid, sigma
0,416,5
1,416,5
2,416,5
3,416,5
4,416,5
5,416,5
0,439,5
1,439,5
2,439,5
3,439,5
4,439,5
5,439,5
0,454,5
1,454,5
2,454,5
3,454,5
4,454,5
5,454,5
0,467,5
1,467,5
2,467,5
3,467,5
4,467,5
5,467,5
0,481,5
1,481,5
2,481,5
3,481,5
4,481,5
5,481,5
0,506,5
1,506,5
2,506,5
3,506,5
4,506,5
5,506,5
0,556,5
1,556,5
2,556,5
3,556,5
4,556,5
5,556,5
0,592,5
1,592,5
2,592,5
3,592,5
4,592,5
5,592,5
0,595,5
1,595,5
2,595,5
3,595,5
4,595,5
5,595,5
0,620,5
1,620,5
2,620,5
3,620,5
4,620,5
5,620,5
0,624,5
1,624,5
2,624,5
3,624,5
4,624,5
5,624,5
0,634,5
1,634,5
2,634,5
3,634,5
4,634,5
5,634,5
0,639,5
1,639,5
2,639,5
3,639,5
4,639,5
5,639,5
0,660,5
1,660,5
2,660,5
3,660,5
4,660,5
5,660,5
0,666,5
1,666,5
2,666,5
3,666,5
4,666,5
5,666,5
0,673,5
1,673,5
2,673,5
3,673,5
4,673,5
5,673,5
0,681,5
1,681,5
2,681,5
3,681,5
4,681,5
5,681,5
0,811,5
1,811,5
2,811,5
3,811,5
4,811,5
5,811,5
0,829,5
1,829,5
2,829,5
3,829,5
4,829,5
5,829,5
0,938,5
1,938,5
2,938,5
3,938,5
4,938,5
5,938,5
0,954,5
1,954,5
2,954,5
3,954,5
4,954,5
5,954,5
0,995,5
1,995,5
2,995,5
3,995,5
4,995,5
5,995,5
