114 //Total number of SiLi cuts to make
SiLi number(0-6),centroid, sigma
0,105,4
1,105,4
2,105,4
3,105,4
4,105,4
5,105,4
0,176,4
1,176,4
2,176,4
3,176,4
4,176,4
5,176,4
0,271,4
1,271,4
2,271,4
3,271,4
4,271,4
5,271,4
0,349,4
1,349,4
2,349,4
3,349,4
4,349,4
5,349,4
0,517,4
1,517,4
2,517,4
3,517,4
4,517,4
5,517,4
0,772,4
1,772,4
2,772,4
3,772,4
4,772,4
5,772,4
0,825,4
1,825,4
2,825,4
3,825,4
4,825,4
5,825,4
0,871,4
1,871,4
2,871,4
3,871,4
4,871,4
5,871,4
0,903,4
1,903,4
2,903,4
3,903,4
4,903,4
5,903,4
0,962,4
1,962,4
2,962,4
3,962,4
4,962,4
5,962,4
0,1001,4
1,1001,4
2,1001,4
3,1001,4
4,1001,4
5,1001,4
0,1069,4
1,1069,4
2,1069,4
3,1069,4
4,1069,4
5,1069,4
0,1117,4
1,1117,4
2,1117,4
3,1117,4
4,1117,4
5,1117,4
0,1129,4
1,1129,4
2,1129,4
3,1129,4
4,1129,4
5,1129,4
0,1214,4
1,1214,4
2,1214,4
3,1214,4
4,1214,4
5,1214,4
0,1275,4
1,1275,4
2,1275,4
3,1275,4
4,1275,4
5,1275,4
0,1305,4
1,1305,4
2,1305,4
3,1305,4
4,1305,4
5,1305,4
0,1428,4
1,1428,4
2,1428,4
3,1428,4
4,1428,4
5,1428,4
0,1440,4
1,1440,4
2,1440,4
3,1440,4
4,1440,4
5,1440,4
