102 //Total number of SiLi cuts to make
SiLi number(0-6),centroid, sigma
0,150,4
1,150,4
2,150,4
3,150,4
4,150,4
5,150,4
0,200,4
1,200,4
2,200,4
3,200,4
4,200,4
5,200,4
0,300,4
1,300,4
2,300,4
3,300,4
4,300,4
5,300,4
0,400,4
1,400,4
2,400,4
3,400,4
4,400,4
5,400,4
0,550,4
1,550,4
2,550,4
3,550,4
4,550,4
5,550,4
0,790,4
1,790,4
2,790,4
3,790,4
4,790,4
5,790,4
0,850,4
1,850,4
2,850,4
3,850,4
4,850,4
5,850,4
0,890,4
1,890,4
2,890,4
3,890,4
4,890,4
5,890,4
0,925,4
1,925,4
2,925,4
3,925,4
4,925,4
5,925,4
0,990,4
1,990,4
2,990,4
3,990,4
4,990,4
5,990,4
0,1025,4
1,1025,4
2,1025,4
3,1025,4
4,1025,4
5,1025,4
0,1100,4
1,1100,4
2,1100,4
3,1100,4
4,1100,4
5,1100,4
0,1150,4
1,1150,4
2,1150,4
3,1150,4
4,1150,4
5,1150,4
0,1230,4
1,1230,4
2,1230,4
3,1230,4
4,1230,4
5,1230,4
0,1290,4
1,1290,4
2,1290,4
3,1290,4
4,1290,4
5,1290,4
0,1350,4
1,1350,4
2,1350,4
3,1350,4
4,1350,4
5,1350,4
0,1460,4
1,1460,4
2,1460,4
3,1460,4
4,1460,4
5,1460,4
